Rk,Player,Pos,Age,Team?,G,MP,WR,TS,FTr,3PAr,FG,2P,3P,eFG,FT,,
193,Grayson Allen,SG,25,MEM,50,1259,0.528,0.586,0.22,0.662,0.418,0.471,0.391,0.547,0.868,,
194,John Konchar,SG,24,MEM,43,575,0.528,0.609,0.217,0.406,0.5,0.585,0.375,0.576,0.833,,
195,Justise Winslow,SF,24,MEM,26,507,0.528,0.395,0.167,0.257,0.352,0.41,0.185,0.376,0.571,,
196,Montrezl Harrell,C,27,LAL,69,1580,0.583,0.65,0.424,0.017,0.622,0.632,0,0.622,0.707,,
197,Kyle Kuzma,SF,25,LAL,68,1954,0.583,0.546,0.128,0.502,0.443,0.525,0.36,0.533,0.691,,
198,Kentavious Caldwell-Pope,SG,27,LAL,67,1902,0.583,0.588,0.221,0.579,0.431,0.46,0.41,0.549,0.866,,
199,Talen Horton-Tucker,SG,20,LAL,65,1304,0.583,0.536,0.264,0.268,0.458,0.522,0.282,0.496,0.775,,
200,Markieff Morris,PF,31,LAL,61,1200,0.583,0.509,0.132,0.553,0.405,0.521,0.311,0.491,0.72,,
201,Dennis Schröder,SG,27,LAL,61,1956,0.583,0.543,0.32,0.279,0.437,0.476,0.335,0.484,0.848,,
202,Alex Caruso,PG,26,LAL,58,1216,0.583,0.547,0.249,0.449,0.436,0.464,0.402,0.526,0.645,,
203,Wesley Matthews,SG,34,LAL,58,1130,0.583,0.517,0.163,0.782,0.353,0.418,0.335,0.484,0.854,,
204,Marc Gasol,C,36,LAL,52,993,0.583,0.607,0.258,0.629,0.454,0.528,0.41,0.582,0.72,,
205,LeBron James,PG,36,LAL,45,1504,0.583,0.602,0.31,0.346,0.513,0.591,0.365,0.576,0.698,,
206,Alfonzo McKinnie,SF,28,LAL,39,258,0.583,0.604,0.194,0.419,0.516,0.593,0.41,0.602,0.556,,
207,Anthony Davis,PF,27,LAL,36,1162,0.583,0.556,0.349,0.163,0.491,0.536,0.26,0.512,0.738,,
208,Devontae Cacok,PF,24,LAL,20,98,0.583,0.576,0.379,0,0.586,0.586,,0.586,0.455,,
209,Ivica Zubac,C,23,LAC,72,1609,0.653,0.693,0.434,0.01,0.652,0.656,0.25,0.654,0.789,,
210,Nicolas Batum,SF,32,LAC,67,1835,0.653,0.617,0.141,0.66,0.464,0.579,0.404,0.597,0.828,,
211,Reggie Jackson,SG,30,LAC,67,1544,0.653,0.576,0.14,0.482,0.45,0.465,0.433,0.554,0.817,,
212,Terance Mann,SG,24,LAC,67,1263,0.653,0.603,0.269,0.26,0.509,0.54,0.418,0.563,0.83,,
213,Luke Kennard,SG,24,LAC,63,1232,0.653,0.608,0.075,0.541,0.476,0.51,0.446,0.597,0.839,,
214,Marcus Morris,PF,31,LAC,57,1502,0.653,0.614,0.152,0.507,0.473,0.472,0.473,0.592,0.82,,
215,Paul George,SF,30,LAC,54,1821,0.653,0.598,0.239,0.436,0.467,0.51,0.411,0.557,0.868,,
216,Kawhi Leonard,SF,29,LAC,52,1773,0.653,0.623,0.325,0.28,0.512,0.557,0.398,0.568,0.885,,
217,Amir Coffey,SG,23,LAC,44,394,0.653,0.585,0.369,0.544,0.437,0.468,0.411,0.549,0.711,,
218,Serge Ibaka,C,31,LAC,41,955,0.653,0.585,0.145,0.315,0.51,0.588,0.339,0.563,0.811,,
219,Patrick Patterson,PF,31,LAC,38,582,0.653,0.571,0.103,0.679,0.436,0.604,0.357,0.558,0.765,,
220,Patrick Beverley,PG,32,LAC,37,832,0.653,0.58,0.204,0.641,0.423,0.468,0.397,0.55,0.8,,
221,Daniel Oturu,C,21,LAC,30,161,0.653,0.471,0.231,0.096,0.423,0.447,0.2,0.433,0.75,,
222,Justin Holiday,SG,31,IND,72,2183,0.472,0.571,0.136,0.725,0.413,0.494,0.382,0.551,0.788,,
223,T.J. McConnell,PG,28,IND,69,1796,0.472,0.583,0.098,0.098,0.559,0.586,0.312,0.574,0.688,,
224,Aaron Holiday,PG,24,IND,66,1176,0.472,0.503,0.19,0.417,0.39,0.406,0.368,0.467,0.819,,
225,Doug McDermott,PF,29,IND,66,1619,0.472,0.635,0.147,0.43,0.532,0.641,0.388,0.616,0.816,,
226,Domantas Sabonis,PF,24,IND,62,2231,0.472,0.601,0.363,0.179,0.535,0.582,0.321,0.564,0.732,,
227,Malcolm Brogdon,PG,28,IND,56,1930,0.472,0.561,0.181,0.382,0.453,0.493,0.388,0.527,0.864,,
228,Edmond Sumner,SG,25,IND,53,861,0.472,0.626,0.294,0.312,0.525,0.583,0.398,0.587,0.819,,
229,Myles Turner,C,24,IND,47,1455,0.472,0.599,0.329,0.477,0.477,0.606,0.335,0.557,0.782,,
230,Goga Bitadze,C,21,IND,45,561,0.472,0.523,0.314,0.407,0.428,0.548,0.253,0.479,0.738,,
231,Jeremy Lamb,SG,28,IND,36,765,0.472,0.587,0.272,0.464,0.435,0.46,0.406,0.529,0.947,,
232,Kelan Martin,SF,25,IND,35,322,0.472,0.551,0.072,0.435,0.449,0.487,0.4,0.536,0.9,,
233,JaKarr Sampson,PF,27,IND,29,316,0.472,0.533,0.257,0.133,0.496,0.541,0.2,0.509,0.655,,
234,Cassius Stanley,SG,21,IND,24,93,0.472,0.383,0.209,0.302,0.302,0.333,0.231,0.337,0.778,,
235,Oshae Brissett,SF,22,IND,21,519,0.472,0.637,0.43,0.517,0.483,0.548,0.423,0.593,0.769,,
236,Jae'Sean Tate,SF,25,HOU,70,2043,0.236,0.576,0.235,0.312,0.506,0.595,0.308,0.554,0.694,,
237,Sterling Brown,SG,25,HOU,51,1229,0.236,0.597,0.092,0.642,0.448,0.492,0.423,0.584,0.806,,
238,Kenyon Martin Jr.,SF,20,HOU,45,1068,0.236,0.59,0.264,0.302,0.509,0.572,0.365,0.564,0.714,,
239,Christian Wood,C,25,HOU,41,1326,0.236,0.591,0.309,0.322,0.514,0.581,0.374,0.574,0.631,,
240,John Wall,PG,30,HOU,40,1288,0.236,0.502,0.291,0.343,0.404,0.449,0.317,0.458,0.749,,
241,Danuel House,SF,27,HOU,36,932,0.236,0.525,0.232,0.574,0.404,0.483,0.346,0.504,0.651,,
242,David Nwaba,SF,28,HOU,30,679,0.236,0.557,0.312,0.289,0.486,0.574,0.27,0.525,0.691,,
243,Eric Gordon,SG,32,HOU,27,789,0.236,0.577,0.311,0.572,0.433,0.573,0.329,0.527,0.825,,
244,Kevin Porter Jr.,SG,20,HOU,26,835,0.236,0.528,0.256,0.439,0.425,0.515,0.311,0.493,0.734,,
245,Anthony Lamb,SF,23,HOU,24,415,0.236,0.523,0.178,0.602,0.39,0.489,0.324,0.487,0.857,,
246,Armoni Brooks,SG,22,HOU,20,520,0.236,0.565,0.062,0.818,0.406,0.514,0.382,0.562,0.583,,
247,Andrew Wiggins,PF,25,GSW,71,2364,0.542,0.568,0.225,0.348,0.477,0.529,0.38,0.543,0.714,,
248,Kent Bazemore,SF,31,GSW,67,1333,0.542,0.564,0.199,0.469,0.449,0.486,0.408,0.545,0.692,,
249,Stephen Curry,PG,32,GSW,63,2152,0.542,0.655,0.289,0.587,0.482,0.569,0.421,0.605,0.916,,
250,Draymond Green,PF,30,GSW,63,1982,0.542,0.53,0.232,0.332,0.447,0.535,0.27,0.492,0.795,,
251,Kevon Looney,C,24,GSW,61,1161,0.542,0.575,0.244,0.086,0.548,0.578,0.235,0.558,0.646,,
252,Mychal Mulder,PG,26,GSW,60,766,0.542,0.613,0.083,0.807,0.449,0.667,0.397,0.609,0.636,,
253,Damion Lee,SG,28,GSW,57,1079,0.542,0.636,0.161,0.708,0.467,0.637,0.397,0.608,0.909,,
254,Kelly Oubre Jr.,SF,25,GSW,55,1687,0.542,0.529,0.244,0.394,0.439,0.519,0.316,0.501,0.695,,
255,Juan Toscano-Anderson,SG,27,GSW,53,1107,0.542,0.676,0.148,0.44,0.579,0.718,0.402,0.667,0.71,,
256,Jordan Poole,SG,21,GSW,51,988,0.542,0.581,0.251,0.582,0.432,0.545,0.351,0.535,0.882,,
257,Eric Paschall,PF,24,GSW,40,695,0.542,0.561,0.315,0.181,0.497,0.533,0.333,0.527,0.713,,
258,James Wiseman,C,19,GSW,39,836,0.542,0.552,0.234,0.103,0.519,0.542,0.316,0.535,0.628,,
259,Nico Mannion,PG,19,GSW,30,364,0.542,0.487,0.246,0.526,0.342,0.315,0.367,0.439,0.821,,
260,Saddiq Bey,SF,21,DET,70,1909,0.278,0.567,0.213,0.666,0.404,0.45,0.38,0.53,0.844,,
261,Isaiah Stewart,C,19,DET,68,1455,0.278,0.597,0.225,0.154,0.553,0.593,0.333,0.578,0.696,,
262,Josh Jackson,SG,23,DET,62,1560,0.278,0.516,0.308,0.363,0.419,0.487,0.3,0.473,0.729,,
263,Sekou Doumbouya,PF,20,DET,56,869,0.278,0.459,0.227,0.408,0.379,0.485,0.226,0.426,0.703,,
264,Mason Plumlee,C,30,DET,56,1499,0.278,0.638,0.444,0.018,0.614,0.626,0,0.614,0.669,,
265,Jerami Grant,SF,26,DET,54,1829,0.278,0.556,0.368,0.353,0.429,0.473,0.349,0.491,0.846,,
266,Saben Lee,PG,21,DET,48,781,0.278,0.536,0.424,0.11,0.471,0.487,0.348,0.49,0.685,,
267,Wayne Ellington,SG,33,DET,46,1012,0.278,0.625,0.104,0.814,0.441,0.524,0.422,0.612,0.8,,
268,Frank Jackson,PG,22,DET,40,738,0.278,0.598,0.256,0.512,0.457,0.51,0.407,0.561,0.813,,
269,Jahlil Okafor,C,25,DET,27,347,0.278,0.644,0.235,0.088,0.618,0.656,0.222,0.627,0.708,,
270,Killian Hayes,PG,19,DET,26,670,0.278,0.422,0.085,0.358,0.353,0.395,0.278,0.403,0.824,,
271,Deividas Sirvydis,SG,20,DET,20,133,0.278,0.481,0.15,0.7,0.35,0.333,0.357,0.475,0.5,,
272,Nikola Joki?,C,25,DEN,72,2488,0.653,0.647,0.305,0.183,0.566,0.606,0.388,0.602,0.868,,
273,Facundo Campazzo,PG,29,DEN,65,1425,0.653,0.558,0.289,0.686,0.381,0.444,0.352,0.502,0.879,,
274,Michael Porter Jr.,SF,22,DEN,61,1912,0.653,0.663,0.164,0.468,0.542,0.628,0.445,0.646,0.791,,
275,JaMychal Green,PF,30,DEN,58,1120,0.653,0.59,0.152,0.529,0.463,0.534,0.399,0.568,0.807,,
276,Will Barton,SF,30,DEN,56,1736,0.653,0.538,0.199,0.423,0.426,0.459,0.381,0.507,0.785,,
277,Paul Millsap,PF,35,DEN,56,1162,0.653,0.565,0.244,0.357,0.476,0.55,0.343,0.537,0.725,,
278,PJ Dozier,SG,24,DEN,50,1088,0.653,0.501,0.186,0.42,0.417,0.49,0.315,0.483,0.636,,
279,Jamal Murray,PG,23,DEN,48,1704,0.653,0.592,0.193,0.399,0.477,0.523,0.408,0.559,0.869,,
280,Monte Morris,PG,25,DEN,47,1196,0.653,0.574,0.189,0.346,0.481,0.534,0.381,0.547,0.794,,
281,Zeke Nnaji,PF,20,DEN,42,397,0.653,0.615,0.144,0.567,0.481,0.578,0.407,0.596,0.8,,
282,Vlatko ?an?ar,PF,23,DEN,41,281,0.653,0.547,0.181,0.458,0.458,0.615,0.273,0.521,0.769,,
283,Markus Howard,SG,21,DEN,37,205,0.653,0.477,0.085,0.613,0.377,0.537,0.277,0.462,0.778,,
284,Bol Bol,PF,21,DEN,32,160,0.653,0.534,0.259,0.414,0.431,0.471,0.375,0.509,0.667,,
285,Tim Hardaway Jr.,SG,28,DAL,70,1985,0.583,0.589,0.191,0.581,0.447,0.524,0.391,0.56,0.816,,
286,Jalen Brunson,PG,24,DAL,68,1697,0.583,0.618,0.241,0.319,0.523,0.579,0.405,0.588,0.795,,
287,Luka Don?i?,PG,21,DAL,66,2262,0.583,0.587,0.349,0.406,0.479,0.567,0.35,0.55,0.73,,
288,Trey Burke,PG,28,DAL,62,911,0.583,0.543,0.162,0.465,0.428,0.492,0.354,0.51,0.895,,
289,Dorian Finney-Smith,PF,27,DAL,60,1921,0.583,0.61,0.088,0.648,0.472,0.616,0.394,0.6,0.756,,
290,Josh Richardson,SG,27,DAL,59,1790,0.583,0.537,0.175,0.432,0.427,0.501,0.33,0.498,0.917,,
291,Dwight Powell,C,29,DAL,58,966,0.583,0.688,0.639,0.108,0.619,0.665,0.238,0.631,0.782,,
292,Willie Cauley-Stein,C,27,DAL,53,906,0.583,0.647,0.429,0.06,0.632,0.667,0.091,0.635,0.628,,
293,Maxi Kleber,PF,29,DAL,50,1341,0.583,0.606,0.135,0.771,0.422,0.46,0.41,0.58,0.919,,
294,Kristaps Porzi??is,C,25,DAL,43,1327,0.583,0.582,0.202,0.378,0.476,0.536,0.376,0.547,0.855,,
295,Josh Green,SG,20,DAL,39,445,0.583,0.49,0.247,0.269,0.452,0.559,0.16,0.473,0.565,,
296,Boban Marjanovi?,C,32,DAL,33,271,0.583,0.562,0.311,0.066,0.508,0.535,0.125,0.512,0.816,,
297,Nate Hinton,SG,21,DAL,21,93,0.583,0.442,0.238,0.452,0.357,0.478,0.21,0.405,0.7,,
298,Isaac Okoro,SG,20,CLE,67,2173,0.306,0.514,0.281,0.383,0.42,0.501,0.29,0.476,0.726,,
299,Dean Wade,PF,24,CLE,63,1212,0.306,0.573,0.125,0.685,0.431,0.571,0.366,0.556,0.769,,
300,Collin Sexton,SG,22,CLE,60,2115,0.306,0.573,0.347,0.239,0.475,0.508,0.371,0.519,0.815,,
301,Cedi Osman,SF,25,CLE,59,1510,0.306,0.488,0.162,0.553,0.374,0.458,0.306,0.458,0.8,,
302,Darius Garland,PG,21,CLE,54,1790,0.306,0.547,0.165,0.332,0.451,0.479,0.395,0.517,0.849,,
303,Damyean Dotson,SG,26,CLE,46,907,0.306,0.499,0.123,0.543,0.406,0.545,0.289,0.485,0.667,,
304,Lamar Stevens,PF,23,CLE,40,499,0.306,0.521,0.375,0.184,0.456,0.522,0.16,0.471,0.726,,
305,Larry Nance Jr.,PF,28,CLE,35,1091,0.306,0.557,0.18,0.419,0.471,0.551,0.36,0.546,0.612,,
306,Dylan Windler,SF,24,CLE,31,513,0.306,0.567,0.208,0.592,0.439,0.585,0.338,0.538,0.778,,
307,Kevin Love,PF,32,CLE,25,622,0.306,0.556,0.202,0.619,0.409,0.479,0.365,0.522,0.824,,
308,Terry Rozier,SG,26,CHO,69,2383,0.458,0.575,0.178,0.503,0.45,0.511,0.389,0.548,0.817,,
309,Bismack Biyombo,C,28,CHO,66,1349,0.458,0.574,0.434,0.004,0.587,0.589,0,0.587,0.448,,
310,Miles Bridges,PF,22,CHO,66,1932,0.458,0.625,0.182,0.466,0.503,0.593,0.4,0.596,0.867,,
311,P.J. Washington,PF,22,CHO,64,1954,0.458,0.549,0.211,0.423,0.44,0.48,0.386,0.522,0.745,,
312,Devonte' Graham,PG,25,CHO,55,1659,0.458,0.552,0.236,0.713,0.377,0.38,0.375,0.51,0.842,,
313,Caleb Martin,SF,25,CHO,53,818,0.458,0.465,0.25,0.488,0.375,0.496,0.248,0.436,0.641,,
314,Cody Martin,SF,25,CHO,52,849,0.458,0.5,0.229,0.308,0.442,0.515,0.276,0.484,0.581,,
315,LaMelo Ball,PG,19,CHO,51,1469,0.458,0.539,0.245,0.388,0.436,0.489,0.352,0.504,0.758,,
316,Cody Zeller,C,28,CHO,48,1005,0.458,0.599,0.367,0.086,0.559,0.598,0.143,0.565,0.714,,
317,Jalen McDaniels,SF,23,CHO,47,904,0.458,0.554,0.225,0.37,0.468,0.547,0.333,0.53,0.703,,
318,Gordon Hayward,SF,30,CHO,44,1496,0.458,0.584,0.281,0.312,0.473,0.499,0.415,0.537,0.843,,
319,Malik Monk,SG,22,CHO,42,878,0.458,0.569,0.18,0.531,0.434,0.471,0.401,0.54,0.819,,
320,Patrick Williams,PF,19,CHI,71,1983,0.431,0.562,0.237,0.261,0.483,0.515,0.391,0.534,0.728,,
321,Coby White,PG,20,CHI,69,2156,0.431,0.54,0.157,0.503,0.416,0.473,0.359,0.506,0.901,,
322,Thaddeus Young,PF,32,CHI,68,1652,0.431,0.578,0.171,0.068,0.559,0.58,0.267,0.568,0.628,,
323,Denzel Valentine,SG,27,CHI,62,1036,0.431,0.479,0.041,0.582,0.373,0.431,0.331,0.469,0.941,,
324,Zach LaVine,SG,25,CHI,58,2034,0.431,0.634,0.265,0.425,0.507,0.571,0.419,0.596,0.849,,
325,Tomáš Satoranský,SG,29,CHI,58,1307,0.431,0.614,0.24,0.359,0.514,0.602,0.356,0.578,0.848,,
326,Garrett Temple,SG,34,CHI,56,1528,0.431,0.525,0.131,0.525,0.415,0.503,0.335,0.503,0.8,,
327,Lauri Markkanen,PF,23,CHI,51,1317,0.431,0.619,0.177,0.568,0.48,0.582,0.402,0.594,0.826,,
328,Ryan Arcidiacono,PG,26,CHI,44,450,0.431,0.54,0.171,0.573,0.419,0.48,0.373,0.526,0.65,,
329,Joe Harris,SF,29,BRK,69,2141,0.667,0.663,0.089,0.628,0.505,0.555,0.475,0.654,0.778,,
330,Jeff Green,C,34,BRK,68,1835,0.667,0.624,0.304,0.472,0.492,0.564,0.412,0.59,0.776,,
331,Bruce Brown,PG,24,BRK,65,1451,0.667,0.604,0.277,0.14,0.556,0.599,0.288,0.576,0.735,,
332,Landry Shamet,SG,23,BRK,61,1403,0.667,0.578,0.171,0.73,0.408,0.463,0.387,0.549,0.846,,
333,Timothé Luwawu-Cabarrot,SF,25,BRK,58,1050,0.667,0.493,0.121,0.671,0.365,0.47,0.314,0.471,0.814,,
334,DeAndre Jordan,C,32,BRK,57,1246,0.667,0.736,0.369,0.004,0.763,0.766,0,0.763,0.5,,
335,Kyrie Irving,PG,28,BRK,54,1886,0.667,0.614,0.201,0.348,0.505,0.561,0.402,0.576,0.922,,
336,Tyler Johnson,SG,28,BRK,39,684,0.667,0.546,0.115,0.721,0.393,0.471,0.364,0.525,0.857,,
337,Kevin Durant,PF,32,BRK,35,1157,0.667,0.666,0.395,0.313,0.537,0.577,0.45,0.608,0.882,,
338,Nicolas Claxton,C,21,BRK,32,594,0.667,0.612,0.441,0.035,0.621,0.636,0.2,0.624,0.484,,
339,Reggie Perry,PF,20,BRK,26,211,0.667,0.466,0.167,0.269,0.41,0.491,0.191,0.436,0.769,,
340,Chris Chiozza,PG,25,BRK,22,232,0.667,0.461,0.193,0.477,0.352,0.391,0.309,0.426,0.765,,
341,Payton Pritchard,SG,23,BOS,66,1268,0.5,0.583,0.108,0.593,0.44,0.482,0.411,0.562,0.889,,
342,Jayson Tatum,SF,22,BOS,64,2290,0.5,0.577,0.258,0.368,0.459,0.502,0.386,0.53,0.868,,
343,Grant Williams,PF,22,BOS,63,1138,0.5,0.546,0.206,0.522,0.437,0.508,0.372,0.534,0.588,,
344,Jaylen Brown,SG,24,BOS,58,1999,0.5,0.586,0.225,0.37,0.484,0.536,0.397,0.558,0.764,,
345,Semi Ojeleye,PF,26,BOS,56,950,0.5,0.553,0.145,0.715,0.403,0.492,0.367,0.534,0.75,,
346,Tristan Thompson,PF,29,BOS,54,1287,0.5,0.54,0.368,0.009,0.518,0.523,0,0.518,0.592,,
347,Robert Williams,C,23,BOS,52,985,0.5,0.719,0.283,0.008,0.721,0.727,0,0.721,0.616,,
348,Marcus Smart,PG,26,BOS,48,1581,0.5,0.539,0.318,0.553,0.398,0.482,0.33,0.489,0.79,,
349,Aaron Nesmith,SF,21,BOS,46,669,0.5,0.573,0.157,0.607,0.438,0.543,0.37,0.551,0.786,,
350,Kemba Walker,PG,30,BOS,43,1369,0.5,0.559,0.22,0.522,0.42,0.486,0.36,0.514,0.899,,
351,Carsen Edwards,SG,22,BOS,31,276,0.5,0.527,0.117,0.568,0.423,0.604,0.286,0.504,0.846,,
352,Tremont Waters,PG,23,BOS,26,238,0.5,0.541,0.202,0.452,0.405,0.413,0.395,0.494,0.941,,
353,Solomon Hill,PF,29,ATL,71,1513,0.569,0.498,0.154,0.711,0.359,0.454,0.321,0.473,0.761,,
354,Kevin Huerter,SG,22,ATL,69,2126,0.569,0.541,0.088,0.528,0.432,0.51,0.363,0.528,0.781,,
355,Clint Capela,C,26,ATL,63,1898,0.569,0.601,0.327,0,0.594,0.594,,0.594,0.573,,
356,John Collins,PF,23,ATL,63,1848,0.569,0.645,0.265,0.27,0.556,0.615,0.399,0.61,0.833,,
357,Trae Young,PG,22,ATL,63,2125,0.569,0.589,0.491,0.357,0.438,0.491,0.343,0.499,0.886,,
358,Danilo Gallinari,PF,32,ATL,51,1222,0.569,0.613,0.366,0.535,0.434,0.466,0.406,0.542,0.925,,
359,Onyeka Okongwu,C,20,ATL,50,601,0.569,0.655,0.383,0.02,0.644,0.657,0,0.644,0.632,,
360,Brandon Goodwin,PG,25,ATL,47,620,0.569,0.471,0.193,0.462,0.377,0.433,0.311,0.448,0.651,,
361,Tony Snell,SG,29,ATL,47,992,0.569,0.708,0.064,0.637,0.515,0.419,0.569,0.696,1,,
362,Bogdan Bogdanovi?,SG,28,ATL,44,1305,0.569,0.616,0.078,0.589,0.473,0.522,0.438,0.602,0.909,,
363,Bruno Fernando,C,22,ATL,33,226,0.569,0.475,0.5,0.045,0.409,0.429,0,0.409,0.682,,
364,Nathan Knight,PF,23,ATL,33,279,0.569,0.499,0.55,0.33,0.37,0.463,0.182,0.4,0.8,,
365,Skylar Mays,SG,23,ATL,33,269,0.569,0.569,0.255,0.408,0.449,0.517,0.35,0.52,0.88,,
366,Cam Reddish,SF,21,ATL,26,750,0.569,0.488,0.312,0.479,0.365,0.46,0.262,0.428,0.817,,
367,De'Andre Hunter,SF,23,ATL,23,678,0.569,0.603,0.343,0.383,0.484,0.582,0.326,0.546,0.859,,
368,,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,
384,,,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,
406,,,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,
412,,,,,,,,,,,,,,,,,
413,,,,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,
417,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,
